bump_array_3_3,pad_dram_slink_o[4]
bump_array_3_5,
bump_array_3_7,pad_dram_slink_o[5]
bump_array_3_9,
bump_array_3_11,VSS
bump_array_3_13,VSS
bump_array_3_15,VSS
bump_array_3_17,VSS
bump_array_3_19,VDD
bump_array_3_21,VDD
bump_array_3_23,VSS
bump_array_3_25,VSS
bump_array_3_27,VSS
bump_array_3_29,VSS
bump_array_3_31,pad_test_mode_i
bump_array_3_33,pad_test_mode_i
bump_array_3_35,pad_clk_rst_bypass_i
bump_array_3_37,pad_clk_rst_bypass_i
bump_array_3_39,VDDIO
bump_array_2_0,VDDIO
bump_array_2_2,VSSIO
bump_array_2_4,pad_dram_slink_o[6]
bump_array_2_6,
bump_array_2_8,pad_dram_slink_o[7]
bump_array_2_10,
bump_array_2_12,VSS
bump_array_2_14,VSS
bump_array_2_16,VSS
bump_array_2_18,VDD
bump_array_2_20,VDD
bump_array_2_22,VDD
bump_array_2_24,VSS
bump_array_2_26,VSS
bump_array_2_28,VSS
bump_array_2_30,
bump_array_2_32,pad_uart_rx_i
bump_array_2_34,
bump_array_2_36,pad_uart_tx_o
bump_array_2_38,VSSIO
bump_array_2_40,VDDIO
bump_array_1_1,VSSIO
bump_array_1_3,VSSIO
bump_array_1_5,VDDIO
bump_array_1_7,pad_spih_csb_o[1]
bump_array_1_9,pad_spih_sd_io[0]
bump_array_1_11,pad_spih_sd_io[2]
bump_array_1_13,pad_spih_sck_o
bump_array_1_15,VSSIO
bump_array_1_17,VSS
bump_array_1_19,VDD
bump_array_1_21,VDD
bump_array_1_23,VSS
bump_array_1_25,VSSIO
bump_array_1_27,pad_i2c_scl_io
bump_array_1_29,pad_gpio_io[5]
bump_array_1_31,pad_gpio_io[3]
bump_array_1_33,pad_gpio_io[1]
bump_array_1_35,VDDIO
bump_array_1_37,VSSIO
bump_array_1_39,VSSIO
bump_array_0_2,VSSIO
bump_array_0_4,VDDIO
bump_array_0_6,pad_spih_csb_o[0]
bump_array_0_8,pad_gpio_io[6]
bump_array_0_10,pad_spih_sd_io[1]
bump_array_0_12,pad_spih_sd_io[3]
bump_array_0_14,
bump_array_0_16,VSS
bump_array_0_18,VDD
bump_array_0_20,VDD
bump_array_0_22,VDD
bump_array_0_24,VSS
bump_array_0_26,
bump_array_0_28,pad_i2c_sda_io
bump_array_0_30,pad_gpio_io[4]
bump_array_0_32,pad_gpio_io[2]
bump_array_0_34,pad_gpio_io[0]
bump_array_0_36,VDDIO
bump_array_0_38,VSSIO
